 MLA 9 Citation , Brief Description , Goal/Mission/Value of resource/Association/Author , Pertinent Information , Other resources 
"Chudy, Devika. “BC Teacher-Librarians’ Association.” _BC Teacher-Librarians’ Association_, wordpress.com, 11 Apr. 2025, bctla.ca/.",BC teacher librarian association website. It has description of services provided and conference/prod opportunities as well as a list of publications.,The BCTLA provides support and advocacy for TLs in the province.,"Includes the Points of Inquiry framework, advocacy tools, and TL role clarity documents for BC.","Points of Inquiry, TL Advocacy Toolkit"
"_Canadian School Libraries_, www.canadianschoollibraries.ca/. Accessed 17 Apr. 2025.",Canadian School Libraries website. Charitable org for professional research and resources for Canadian teacher librarians,"schoolwide improvement through: diversity in commons, inclusive practice, collaboration. Promote national standards and innovative practices in Canadian school libraries.",Hosts the Leading Learning framework and other national-level research on LLCs in Canada.,"Leading Learning Framework, CSL Journal"
"_International Association of School Librarianship - Home_, iasl-online.org/. Accessed 17 Apr. 2025.","An international network and resource hub for school librarians. Offers publications, research, and professional development opportunities.
","Foster international collaboration and research in school librarianship. 
""The mission of the Association is to provide an international forum for people interested in promoting effective school library programs as viable instruments in the educational process. IASL also provides guidance and advice for the development of school library programs and the school library profession. IASL works in cooperation with other professional associations and agencies.""",Connects TLs globally with a focus on school libraries as transformative learning environments.,IASL publications and research archive
"“IFLA.” _International Federation of Library Associations and Institutions_, www.ifla.org/. Accessed 17 Apr. 2025.","International standards for school libraries focusing on equitable access, professional staffing, and integration of information literacy into curriculum.","Provide global guidelines for equitable and effective school library programs. 
""Our work is designed to lead to a situation where libraries, their workforce and their associations globally have the capability, contacts, confidence and resilience to realise their potential to drive inclusive, rights-based sustainable development in a fast-evolving world.""",Provides international school library standards and supports information literacy globally.,IFLA School Library Guidelines
"Sykes, Judith A. ""Section III: Chapter 6: School Library to Learning Commons Literature and Research."" _The Whole School Library Learning Commons: An Educator’s Guide_. Libraries Unlimited, 2016.",This is a book of which we read chapter 6 in section III regarding a comparison between the traditional library model to te library learning commons model,"Mentoring for implementation and sustainability 
-- Selected mentoring resources with strategies 
-- Mentoring case studies 
-- Authentic accountability, standards and policies 
-- Selected accountability resources with strategies 
-- School library to learning commons literature and research 
-- Selected learning commons literature and research with strategies 
-- Engaging community 
-- Selected resources with strategies for community engagement.","Provides a comprehensive literature review and synthesis of research supporting the shift from traditional school libraries to the Learning Commons model. Highlights best practices, case studies, and educational theory driving this transformation.","Research summaries, theoretical foundations of the LLC, evidence-based strategies for implementation"
"Ekdahl, Moira, and Sylvia Zubke. “From School Library To Library Learning Commons: A Pro-Active Model For Educational Change.” Vancouver School District #39, May 2014.","Pamphlet that outlines how some BC school libraries (SD39) have transitioned into LLCs, connecting local practices with broader educational shifts.","Encourage school libraries to evolve into LLCs that support modern pedagogy. To show the reader that it can be done, what to concentrate on to make the transition and some examples",Discusses the transformation from traditional school libraries to Library Learning Commons in BC.,"BC curriculum alignment, inquiry-based learning"
"Baker, Patricia. _The Benefits of a Participatory Learning Environment in the School Learning Commons_. Treasure Mountain Canada 6, 2020, [https://researcharchive.canadianschoollibraries.ca](https://researcharchive.canadianschoollibraries.ca).","A presentation from Treasure Mountain Canada that showcases real-world examples of participatory learning in LLCs, emphasizing student ownership and collaboration.","Promote participatory learning and student engagement in Canadian libraries.
Argument for the creation of LLC with collaboration, critical thinking, flexibility, expectations, skills and implementations examples as headers.","Outlines the benefits of participatory learning environments in school libraries, emphasizing student agency.",Treasure Mountain Canada research
"Kirkland, Anita Brooks, et al. “Build Your Own Virtual Library Learning Commons.” _By the Brooks Anita Brooks Kirkland_, Learning Revolution Daily Online Worldwide Education Conference, www.bythebrooks.ca/build-your-own-vllc/. Accessed 2 May 2025.","Webinar about building VLLC. Includes  templates, slide decks, and digital strategies for building a Virtual Learning Commons.",Designed to help guide TLs to designing VLLC,Provides templates and exemplars for building Virtual Learning Commons using digital tools.,"Canva, Google Sites, Bitmoji LLCs"
"Sykes, Judith, et al. _Leading Learning: Standards of Practice for School Library Learning Commons in Canada_. Association Canadienne Des Bibliothèques, 2015.","A journal article summarizing research supporting the transition to LLCs, providing evidence and models for program development.","Provides standards, themes and growth indicators for school library learning commons.",Foundational document outlining standards of practice for LLCs in Canada; used widely for planning and assessment.,"CSL Planning Tools, Framework Overview"
"Weisburg, Hilda K., and Ruth Toor. “Chapter 5: Reaching Your Students.” _New on the Job: A School Librarian’s Guide to Success_, 2nd ed., ALA Editions, Chicago, Illinois, 2015, pp. 73–87.","A chapter focusing on building student relationships, visibility, and library engagement through consistent, respectful, and proactive presence of the TL.",Help TLs build trust and presence with students through meaningful engagement.,Focuses on building meaningful relationships with students and establishing presence and trust.,Weisburg & Toor's TL Success Strategies
